Station,Address,County,Phone,Mon-Fri,Mon-FI,Tuesday,Wednesday,Thursday,Sat,Sun,Latitude,Longitude,StationID
Carraroe,An Cheathrú Rua,Co. Galway,(091) 595102,10:00-11:00,,,,,Closed,Closed,53.264508,-9.600493,5352L
Maum,An Mám,Co. Galway,(091) 571100,10:00-13:00,,,,,Closed,Closed,53.510728,-9.564931,5255H
Spiddle,An Spidéal,Co. Galway,(091) 553122,10:00-13:00,,,,,Closed,Closed,53.245432,-9.305633,5355D
Ardrahan,Ardrahan,Co. Galway,(091) 635102,"Mon-Wed 19:30-20:30, Fri 10-11:00",,,,,14:30-15:30,Closed,53.15665,-8.806455,5401A
Athenry,Church Street,Co. Galway,(091) 844016,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.29975,-8.749687,5247G
Ballinasloe,Dunlo Street,Co. Galway,(090) 9631890,24-Jul,,,,,24-Jul,24-Jul,53.328431,-8.223624,5670G
Ballygar,High Street,Co. Galway,(090) 6624512,2 hour daily-no set time,,,,,Closed,Closed,53.521866,-8.32839,5606E
Barnaderg,Barnaderg,Co. Galway,(093) 49212,"Mon-Thu 10:00-11:00, Fri 17:00-18:00",,,,,17:00-18:00,12:00-13:00,53.480544,-8.722468,5807F
Carna,Carna,Co. Galway,(095) 32242,10:00-13:00,,,,,Closed,Closed,53.323548,-9.824405,5254L
Cill Ronain,Inis Mór - Inishmore,Co. Galway,(099) 61102,10:00-13:00,,,,,Closed,Closed,53.121306,-9.667818,5358K
Clifden,Galway Road,Co. Galway,(095) 22500,24-Jul,,,,,24-Jul,24-Jul,53.488185,-10.009242,5250G
Corofin,Kilnaboy Road,Co. Clare,(065) 6837622,10:00-13:00,,,,,10:00-12:00,Closed,52.947992,-9.068588,5172A
Craughwell,Craughwell,Co. Galway,(091) 846002,Varies,,,,,"10:00-11:00 , 20:00-22:00",12:00-13:00,53.22943,-8.733921,5402L
Creggs,Millford,Co. Galway,(090) 6621112,3 hour daily-no set time,,,,,Closed,Closed,53.59486,-8.363792,5605G
Dunmore,Barrack Street,Co. Galway,(093) 38131,"Mon-Thur 10:00-11:00, Fri 17:00-18:00",,,,,17:00-18:00,12:00-13:00,53.617554,-8.74063,5805L
Eyrecourt,Main Street,Co. Galway,(090) 9675122,16:00-17:00,,,,,16:00-5 pm,Closed,53.199426,-8.132368,5306F
Galway,Mill Street,Co. Galway,(091) 538000,24-Jul,,,,,24-Jul,24-Jul,53.271404,-9.057489,5240L
Glenamaddy,Ballymoe Road,Co. Galway,(094) 9659002,"Mon-Thur 10:00-11:00, Fri 17:00-18:00",,,,,17:00-18:00,12:00-13:00,53.607443,-8.560181,5804A
Gort,Barrack Street,Co. Galway,(091) 636400,24-Jul,,,,,24-Jul,24-Jul,53.067434,-8.818184,5400C
Headford,Bridge Street,Co. Galway,(093) 35412,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.470318,-9.098307,5245M
Inverin,Indreabhán,Co. Galway,(091) 593102,10:00-13:00,,,,,Closed,Closed,53.240587,-9.429568,5354F
Kilconnell,Kilconnell,Co. Galway,(090) 9686622,1 hour daily-no set time,,,,,Closed,Closed,53.331374,-8.401656,5672C
Killimor,Killimor,Co. Galway,(090) 9676142,Varies,,,,,Varies,Closed,53.165886,-8.294188,5303A
Kilrickle,Kilreekil,Co. Galway,(091) 843002,20:00-21:00,,,,,20:00-21:00,Closed,53.230643,-8.452731,5308B
Kiltormer,Kiltormer,Co. Galway,(090) 9627122,Contact Ballinasloe (090) 9631890,,,,,,,53.237577,-8.271341,5673A
Kinvara,Glebe Road,Co. Galway,(091) 637102,"Mon 19:00-20:00, Wed 19:30-20:30",,,,,11:00-12:00,Closed,53.14047,-8.939726,5403H
Loughgeorge,Leacht Seoirse,Co. Galway,(091) 798122,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.357056,-8.931294,5244B
Leitir Mor,Leitir Móir,Co. Galway,(091) 551122,10:00-13:00,,,,,Closed,Closed,53.289412,-9.655065,5356B
Letterfrack,Letterfrack,Co. Galway,(095) 41052,10:00-13:00,,,,,Closed,Closed,53.554204,-9.947676,5252C
Loughrea,Barrack Street,Co. Galway,(091) 842870,24-Jul,,,,,24-Jul,24-Jul,53.197374,-8.569948,5300G
Moycullen,Maigh Cuilinn,Co. Galway,(091) 555122,10:00-13:00,,,,,Closed,Closed,53.33831,-9.181167,5351A
Milltown,Milltown,Co. Galway,(093) 51312,"Mon-Thur 10:00-11:00, Fri 17:00-18:00",,,,,17:00-18:00,12:00-13:00,53.611605,-8.897447,5802E
Monivea,Monivea,Co. Galway,(091) 849002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.373986,-8.702331,5248E
Mountbellew,Ballygar Road,Co. Galway,(090) 9679292,"10:00-13:00, 14:00-17:00",,,,,10:00-11:00,12:00-13:00,53.471162,-8.500104,5675H
Moylough,Moylough,Co. Galway,(090) 9679272,1 hour daily-no set time,,,,,Closed,Closed,53.487694,-8.567016,5678B
Oranmore,Coast Road,Co. Galway,(091) 388030,09:00-17:00,,,,,10:00-13:00,10:00-13:00,53.272075,-8.931893,5242F
Oughterard,Main Street,Co. Galway,(091) 557320,10:00-13:00,,,,,15:00-18:00,Closed,53.427355,-9.324545,5350C
Portumna,Abbey Street,Co. Galway,(090) 9741004,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.09001,-8.22043,5307D
Ros Muck,Ros Muc,Co. Galway,(091) 574102,10:00-13:00,,,,,Closed,Closed,53.386363,-9.609865,5353H
Roundstone,Coast Road,Co. Galway,(095) 35835,10:00-13:00,,,,,Closed,Closed,53.393576,-9.921109,5256F
Salthill,Dalysfort Road,Co. Galway,(091) 514720,24-Jul,,,,,24-Jul,24-Jul,53.258788,-9.079714,5357M
Recess,Sraith Salach,Co. Galway,(095) 34603,10:00-13:00,,,,,Closed,Closed,53.465315,-9.721433,5251E
Tuam,Abbey Trinity Road,Co. Galway,(093) 70840,24-Jul,,,,,24-Jul,24-Jul,53.515662,-8.855884,5800K
Galway,Dublin Road,Co. Galway,(091) 337140,07:00-19:00,,,,,07:00-19:00,07:00-19:00,53.271404,-9.057489,5240L
Williamstown,Old Church Road,Co. Galway,(094) 9643002,"Mon-Thur 10:00-11:00 , Fri 17:00-18:00",,,,,10:00-11:00,12:00-13:00,53.677145,-8.578412,5801G
Woodford,Woodford,Co. Galway,(090) 9749002,10:00-11:00,,,,,10:00-11:00,Closed,53.047611,-8.400132,5304L
Annascaul,Main Street,Co. Kerry,(066) 9157102,10:30-11:30,,,,,10:30-11:30,Closed,52.152418,-10.052538,4638H
Ardfert,Ardfert,Co. Kerry,(066) 7134133,16:00-17:00,,,,,16:00-17:00,Closed,52.323486,-9.778885,4601K
Ballyferiter,Baile an Fheirtéaraigh,Co. Kerry,(066) 9156111,16:30-17:30,,,,,16:30-17:30,Closed,52.165926,-10.406194,4639F
Ballybunnion,Main Street,Co. Kerry,(068) 27104,9:30-17:30,,,,,9:30-17:30,12:00-14:00,52.511257,-9.670238,4773B
Ballyduff,An Baile Dubh,Kerry,(066) 7131122,10-Feb,,,,,Dúnta,Dúnta,52.4558542,-9.6631077,4774M
Ballyheigue,Buncurrig,Co. Kerry,(066) 7133122,10:00-13:00,,,,,10:00-13:00,12:00-14:00,52.389174,-9.827458,4771F
Barraduff,Shronedarragh,Co. Kerry,(064) 7754002,Varies,,,,,Closed,Closed,52.059764,-9.340943,4706F
Caherciveen,Caherciveen,Co. Kerry,(066) 9473600,24-Jul,,,,,24-Jul,24-Jul,51.946966,-10.219832,4650G
Castlegregory,Main Street,Co. Kerry,(066) 7139690,2:30-15:30,,,,,2:30-15:30,Closed,52.254163,-10.020617,4637L
Castleisland,Castleisland,Co. Kerry,(066) 7141204,"11:00-15:00, 20:00-21:30",,,,,"11:00-15:00, 20:00-21:30",Varies,52.230794,-9.467496,4703A
Castlemaine,Castlemaine,Co. Kerry,(066) 9767317,10:00-12:00,,,,,10:00-12:00,Varies,52.170229,-9.700593,4658B
Dingle,Sráid an Droichid - Bridge Street,Co. Kerry,(066) 9151522,10:00-18:00,,,,,10:00-18:00,12:00-13:00,52.139247,-10.270497,4635C
Farranfore,Farranfore,Co. Kerry,(066) 9764111,"10:00-11.30,  20:00-21:00",,,,,"10:00-11.30,  20:00-21:00",Varies,52.171391,-9.549687,4704L
Glenbeigh,Kilnabrack Lower,Co. Kerry,(066) 9768202,10:00-12:00,,,,,Closed,Closed,52.057123,-9.937063,4653A
Kenmare,Shelbourne Street,Co. Kerry,(064) 6641177,09:30-17:30,,,,,09:30-17:30,12:00-14:00,51.878502,-9.581625,4702C
Killarney,New Road,Co. Kerry,(064) 6671160,24-Jul,,,,,24-Jul,24-Jul,52.062403,-9.512388,4700G
Killorglin,Upper Bridge Street,Co. Kerry,(066) 9790500,09:00-17:00,,,,,09:00-17:00,09:00-17:00,52.106496,-9.787144,4655H
Knocknagoshel,Knocknagoshel,Co. Kerry,(068) 46102,10:00-13:00,,,,,10:00-13:00,12:00-14:00,52.330666,-9.385306,4776G
Listowel,Church Street,Co. Kerry,(068) 50820,24-Jul,,,,,24-Jul,24-Jul,52.447132,-9.483916,4770H
Lixnaw,Lixnaw,Co. Kerry,(066) 7132122,10:00-13:00,,,,,10:00-13:00,12:00-14:00,52.404074,-9.616641,4777E
Portmagee,Doora,Co. Kerry,(066) 9477102,10:00-12:00,,,,,Closed,Closed,51.885159,-10.36178,4654L
Sneem,West End,Co. Kerry,(064) 6645111,10:00-12:00,,,,,10:00-12:00,Closed,51.838914,-9.90396,4657D
Tarbert,Bridewell Street,Co. Kerry,(068) 36101,10:00-13:00,,,,,10:00-13:00,12:00-14:00,52.572734,-9.375422,4779A
Tralee,New Road,Co. Kerry,(066) 7102300,24-Jul,,,,,24-Jul,24-Jul,52.269488,-9.708839,4600M
Waterville,New Line Road,Co. Kerry,(066) 9474111,09:00-13:00,,,,,09:00-13:00,Closed,51.831085,-10.174173,4656F
Athy,Green Alley,Co. Kildare,(059) 8634210,09:00-22:00,,,,,09:00-22:00,09:00-22:00,52.990206,-6.988236,2806A
Carbury,Derrinturn,Co. Kildare,(046) 9553002,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.338463,-6.936698,2777D
Castledermot,Woodlands East,Co. Kildare,(059) 9144112,"10:00-13:00, 18:00-19:30",,,,,"10:00-13:00, 18:00-19:30","10:00-13:00, 18:00-19:30",52.909221,-6.849182,2807L
Celbridge,Maynooth Road,Co. Kildare,(01) 6012370,"10:00-18:00, 19:00-21:00",,,,,"10:00-18:00, 19:00-21:00",12:00-14:00,53.343999,-6.541734,2701D
Clane,Dublin Road,Co. Kildare,(045) 868262,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.293654,-6.685898,2702B
Kilcock,Church Street,Co. Kildare,(01) 6757390,10:00-13:00,,,,,10:00-13:00,12:00-13:00,53.403846,-6.672497,2043E
Killcullen,Main Street,Co. Kildare,(045) 481212,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.12914,-6.746572,2772C
Kildare,Dublin Street,Co. Kildare,(045) 527730,24-Jul,,,,,24-Jul,24-Jul,53.156035,-6.907264,2770G
Leixlip,19 Station Road,Co. Kildare,(01) 6667800,24-Jul,,,,,24-Jul,24-Jul,53.367378,-6.49825,1711F
Maynooth,Leinster Street,Co. Kildare,(01) 6292380,"10:00-13:00, 19:00-21:00",,,,,10:00-13:00,12:00-14:00,53.380813,-6.5927,2704K
Monasterevin,Dublin Road,Co. Kildare,(045) 525322,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.138195,-7.054709,2773A
Naas,Kilcullen Road,Co. Kildare,(045) 884300,24-Jul,,,,,24-Jul,24-Jul,53.210722,-6.666007,2700F
Newbridge,Main Street,Co. Kildare,(045) 440180,24-Jul,,,,,24-Jul,24-Jul,53.181435,-6.795531,2774L
Rathangan,Main Street,Co. Kildare,(045) 524353,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.222117,-6.997539,2775H
Robertstown,Robertstown West,Co. Kildare,(045) 860202,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.27022,-6.816396,2771E
Ballon,Ballon,Co. Carlow,(059) 9159122,"10:00-13:00, 18:00-19:30",,,,,"10:00-13:00, 18:00-19:30","10:00-13:00, 18:00-19:30",52.743226,-6.772182,2803G
Ballyhale,Main Street,Co. Kilkenny,(056) 7768602,16:30-17:30 except Tuesday 11:00-13:00,,,,,16:30-17:30,Closed,52.468333,-7.201527,3574B
Bennetsbridge,Bennettsbridge,Co. Kilkenny,(056) 7727112,16:30-17:30 except Tuesday 11:00-13:00,,,,,16:30-17:30,closed,52.590303,-7.183241,3571H
Borris,Borris,Co. Carlow,(059) 9773102,"10:00-13:00, 18:00-19:30",,,,,"10:00-13:00, 18:00-19:30","10:00-13:00, 18:00-19:30",52.601802,-6.929311,3578E
Callan,Green Street,Co. Kilkenny,(056) 7725232,10:00-12:00 or 18:00-19:00,,,,,18:00-19:00,Closed,52.542375,-7.391039,3502E
Carlow,Athy Road,Co. Carlow,(059) 9136620,24-Jul,,,,,24-Jul,24-Jul,52.840527,-6.929317,2800B
Castlecomer,Kilkenny Road,Co. Kilkenny,(056) 4440650,Varies,,,,,10:00-13:00,10:00-11:00,52.799265,-7.209541,3503C
Freshford,Kilkenny Street,Co. Kilkenny,(056) 8832122,Varies,,,,,Varies,Closed,52.73244,-7.39441,3501G
Glenmore,Robinstown,Co. Kilkenny,(051) 880122,12:00-13:00,,,,,12:00-13:00,Closed,52.35384,-7.028012,3305G
Goresbridge,Barrack Street,Co. Kilkenny,(059) 9775202,16:30-17:30 except Tuesday 11:00-13:00,,,,,16:30-17:30,Closed,52.630035,-6.994435,3504A
Graiguenmana,Upper Main Street,Co. Kilkenny,(059) 9725750,11:00-13:00,,,,,11:00-13:00,12:00-13:00,52.542471,-6.956768,3572F
Hacketstown,Main Street,Co. Carlow,(059) 6471202,11:00-13:00,,,,,11:00-13:00,Closed,52.864342,-6.556978,2907F
Kilkenny,Dominic Street,Co. Kilkenny,(056) 7775000,24-Jul,,,,,24-Jul,24-Jul,52.65244,-7.259723,3500K
Kilmacow,Upper Kilmacow,Co. Kilkenny,(051) 885112,12:00-13:00,,,,,12:00-13:00,Closed,52.314568,-7.174842,3306E
Kilmoganny,Kilmoganny,Co. Kilkenny,(051) 648002,16:30-17:30 except Tuesday 11:00-13:00,,,,,16:30-17:30,Closed,52.46092,-7.329284,3576K
Mooncoin,Main Street,Co. Kilkenny,(051) 895122,10:00-13:00,,,,,10:00-13:00,12:30-13:30,52.294707,-7.257334,3304K
Muine Bheag,Kilree Street,Co. Carlow,(059) 9774120,"10:00-13:00, 18:00-19:30",,,,,"10:00-13:00, 18:00-19:30","10:00-13:00, 18:00-19:30",52.701304,-6.957359,2805C
Mullinavat,Main Street,Co. Kilkenny,(051) 898122,16:30-17:30 except Tuesday 11:00-13:00,,,,,16:30-17:30,Closed,52.366384,-7.172155,3577G
Myshall,Myshall,Co. Carlow,(059) 9157622,"10:00-13:00, 18:00-19:30",,,,,"10:00-13:00, 18:00-19:30","10:00-13:00, 18:00-19:30",52.68752,-6.778446,2804E
Pilltown,Main Street,Co. Kilkenny,(051) 643102,10:00-12:00,,,,,10:00-12:00,10:00-12:00,52.349824,-7.325473,3676E
Rathvilly,Rathvilly,Co. Carlow,(059) 9161122,15:00-17:00,,,,,15:00-17:00,Closed,52.880429,-6.695366,2908D
Stoneyford,Main Street,Co. Kilkenny,(056) 7728232,16:30-17:30 except Tuesday 11:00-13:00,,,,,16:30-17:30,Closed,52.536386,-7.228582,3573D
Thomastown,The Fairgreen,Co. Kilkenny,(056) 7754150,24-Jul,,,,,24-Jul,24-Jul,52.528949,-7.140031,3570L
Tullow,Dublin Road,Co. Carlow,(059) 9151222,10:00-13:00,,,,,10:00-13:00,11:00-13:00,52.803828,-6.733401,2910F
Urlingford,Main Street,Co. Kilkenny,(056) 8831133,Varies,,,,,10:00-11:00 or 18:00-19:00,14:00-15:00 or 20:00-21:00,52.722103,-7.58013,3606D
Abbeyleix,Ballinakill Road,Co. Laois,(057) 8730580,24-Jul,,,,,24-Jul,24-Jul,52.912735,-7.343784,2570D
Arles,Ballickmoyler,Co. Laois,(059) 9147628,Varies,,,,,Varies,Varies,52.890977,-7.018923,2575E
Ballylinan,Main Street,Co. Laois,(059) 8625112,Varies,,,,,Varies,Varies,52.942954,-7.043236,2574G
Banagher,Harbour Street,Co. Offaly,(057) 9151310,14:00-17:00,,,,,14:00-17:00,,53.190536,-7.98593,2601H
Birr,Emmet Square,Co. Offaly,(057) 9169710,24-Jul,,,,,24-Jul,24-Jul,53.096052,-7.911523,2600L
Borris-in-Ossory,Main Street,Co. Laois,(0505) 41122,Varies,,,,,Varies,Varies,52.939297,-7.628803,2577A
Clara,The Fairgreen,Co. Offaly,(057) 9331100,"10:00-12:00, 14:00-16:00",,,,,10:00-12:00,,53.345415,-7.614105,2671K
Cloghan,Hill Road,Co. Offaly,(090) 6457102,15:00-17:00,,,,,15:00-17:00,,53.224847,-7.877516,2602F
Clonaslee,Main Street,Co. Laois,(057) 8628022,Varies,,,,,Varies,Varies,53.148619,-7.526043,2505D
Clonbologue,Clonbullogue,Co. Offaly,(046) 9730002,"Tue , Fri 15:00-17:00",,,,,Varies,,53.259142,-7.08576,2672G
Daingean,Main Street,Co. Offaly,(057) 9353042,10:00-13:00,,,,,Varies,,53.292953,-7.293573,2673E
Durrow,Chapel Street,Co. Laois,(057) 8736113,Varies,,,,,Varies,Varies,52.844258,-7.396091,2572M
Edenderry,Saint Mary's Street,Co. Offaly,(046) 9731290,"Tue , Thu 10:00-13:00",,,,,Varies,,53.336835,-7.060821,2674C
Ferbane,Main Street,Co. Offaly,(090) 6454302,15:00-17:00,,,,,15:00-17:00,,53.270751,-7.827618,2603D
Kilcormac,Birr Street,Co. Offaly,(057) 9135002,15:00-17:00,,,,,15:00-17:00,,53.176184,-7.728836,2604B
Kinnity,Kinnitty,Co. Offaly,(057) 9137002,15:00-17:00,,,,,15:00-17:00,,53.098414,-7.722148,2605M
Mountmellick,Wolfe Tone Street,Co. Laois,(057) 8624140,Varies,,,,,Varies,Varies,53.118781,-7.335148,2501A
Mountrath,Patrick Street,Co. Laois,(057) 8732236,Varies,,,,,Varies,Varies,52.998152,-7.478072,2502L
Portarlington,Main Street,Co. Laois,(057) 8623112,"10:00-13:00, 20:00-21:00",,,,,"10:00-13:00, 20:00-21:00",,53.159159,-7.187796,2503H
Portlaoise,Abbeyleix Road,Co. Laois,(057) 8674100,24-Jul,,,,,24-Jul,24-Jul,53.03165,-7.303082,2500C
Rathdowney,Mooreville,Co. Laois,(0505) 46122,Varies,,,,,Varies,Varies,52.856712,-7.597837,2573K
Rhode,Edenderry Road,Co. Offaly,(046) 9737002,Varies,,,,,Varies,,53.351091,-7.194828,2675A
Shinrone,Shinrone,Co. Offaly,(050) 547122,15:00-17:00,,,,,15:00-17:00,,52.984679,-7.934131,2606K
Stradbally,Main Street,Co. Laois,(057) 8625222,Varies,,,,,Varies,Varies,53.0176739,-7.1515984,2504F
Tullamore,Patrick Street,Co. Offaly,(057) 9327600,24-Jul,,,,,24-Jul,24-Jul,53.276055,-7.494906,2670M
Abbeyfeale,Convent Road,Co. Limerick,(068) 30010,10:00-12:00,,,,,10:00-12:00,closed,52.387297,-9.290012,4971K
Adare,Main Street,Co. Limerick,(061) 396216,10:00-13:00,,,,,10:00-11:00,10:00-11:00,52.563903,-8.792065,4881L
Ardnacrusha,Castlebank,Co. Clare,(061) 345136,10:00-13:00,,,,,10:00-13:00,12:00-14:00,52.707692,-8.613146,4803H
Askeaton,Chapel Road,Co. Limerick,(061) 601630,24-Jul,,,,,24-Jul,24-Jul,52.600208,-8.978285,4880A
Athea,Barrack Street,Co. Limerick,(068) 42102,14:00-15:00,,,,,14:00-15:00,closed,52.459923,-9.28747,4977H
Ballingarry,Knightstreet,Co. Limerick,(069) 68103,14:00-17:00,,,,,14:00-17:00,closed,52.47213,-8.862845,4973E
Ballylanders,Main Street,Co. Limerick,(062) 46622,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.370709,-8.34547,4902F
Ballyneety,Ballyneety,Co. Limerick,(061) 351102,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.597271,-8.548932,4876C
Bruff,Main Street,Co. Limerick,(061) 382940,24-Jul,,,,,24-Jul,24-Jul,52.47733,-8.546975,4900L
Bruree,Bruree,Co. Limerick,(063) 90502,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.42316,-8.650418,4905M
Caherconlish,Templemichael,Co. Limerick,(061) 351202,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.593816,-8.469536,4877A
Cappamore,Main Street,Co. Limerick,(061) 381202,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.614671,-8.338486,4912C
Castleconnel,Station Road,Co. Limerick,(061) 377105,"10:00-13:00, 17:00-19:00",,,,,"10:00-13:00, 17:00-19:00","10:00-12:00, 17:00-19:00",52.713406,-8.49847,4802L
Croom,3 Main Street,Co. Limerick,(061) 397240,10:00-13:00,,,,,10:00-11:00,10:00-11:00,52.522001,-8.718798,4883F
Dromcollogher,Woodfield,Co. Limerick,(063) 83002,10:00-11:30,,,,,10:00-11:30,closed,52.338222,-8.911261,4177G
Foynes,Main Street,Co. Limerick,(069) 65122,10:00-13:00,,,,,10:00-11:00,10:00-11:00,52.60973,-9.10367,4884D
Glin,Church Street,Co. Limerick,(068) 34100,10:00-13:00,,,,,10:00-11:00,10:00-11:00,52.569586,-9.284509,4885B
Henry Street,Henry Street,Co. Limerick,(061) 212400,24-Jul,,,,,24-Jul,24-Jul,52.66164,-8.631345,4800C
Hospital,Lower Main Street,Co. Limerick,(061) 383102,Closed,,,,,Closed,Closed,52.475237,-8.432453,4903D
Kilmallock,Emmet Street,Co. Limerick,(063) 98018,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.398381,-8.575769,4906K
Mayorstone,Mayorstone,Co. Limerick,(061) 456980,10:00-18:00,,,,,10:00-18:00,10:00-13:00,52.673726,-8.64474,4804F
Murroe,Liscreagh,Co. Limerick,(061) 386102,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.649681,-8.399188,4913A
Newcastle West,Churchtown Road,Co. Limerick,(069) 20650,24-Jul,,,,,24-Jul,24-Jul,52.453746,-9.062395,4970M
Oola,Main Street,Co. Limerick,(062) 47641,10:00-13:00 or 19:00-21:00,,,,,10:00-13:00 or 19:00-21:00,10:00-13:00 or 19:00-21:00,52.52999,-8.259684,3876H
Pallasgreen,Garranmore,Co. Limerick,(061) 384102,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.54829,-8.353081,4907G
Pallaskenry,Pallaskenry,Co. Limerick,(061) 393102,10:00-13:00,,,,,10:00-11:00,10:00-11:00,52.64055,-8.866541,4882H
Patrickswell,Main Street,Co. Limerick,(061) 355103,10:00-13:00,,,,,10:00-13:00,10:00-12:00,52.595751,-8.712941,4872M
Rathkeale,Lower Main Street,Co. Limerick,(069) 63222,10:00-13:00,,,,,10:00-11:00,10:00-11:00,52.523368,-8.939033,4887K
Roxboro Road,Roxboro Road,Co. Limerick,(061) 214340,24-Jul,,,,,24-Jul,24-Jul,52.650763,-8.61491,4870D
Ardee,Jervis Street,Co. Louth,(041) 6853222,"09:00-14:00, 18:00-22:00",,,,,09:00-14:00,Closed,53.854914,-6.541139,2271C
Blackrock,Sandy Lane,Co. Louth,(042) 9322194,10:00-13:00,,,,,10:00-13:00,12:00-13:00,53.963757,-6.368241,2076A
Carlingford,Newry Street,Co. Louth,(042) 9373102,10:00-13:00,,,,,10:00-13:00,12:00-13:00,54.041228,-6.187213,2071M
Castlebellingham,Dundalk Road,Co. Louth,(042) 9372205,10:00-13:00,,,,,10:00-13:00,12:00-13:00,53.899264,-6.389939,2002H
Clogherhead,Clogherhead,Co. Louth,(041) 9822222,10:00-13:00,,,,,10:00-13:00,12:00-13:00,53.790411,-6.242661,2004D
Collon,Drogheda Street,Co. Louth,(041) 9826102,10:00-13:00,,,,,10:00-13:00,12:00-13:00,53.777854,-6.484901,2272A
Drogheda,Father Connolly Way,Co. Louth,(041) 9874200,24-Jul,,,,,24-Jul,24-Jul,53.715056,-6.356643,2000A
Drumad,Drumad,Co. Louth,(042) 9358680,24-Jul,,,,,24-Jul,24-Jul,54.095768,-6.360793,2073G
Dundalk,The Crescent,Co. Louth,(042) 9388400,24-Jul,,,,,24-Jul,24-Jul,53.999499,-6.409665,2070B
Dunleer,Upper Main Street,Co. Louth,(041) 6851202,10:00-20:00,,,,,10:00-20:00,12:00-18:00,53.828524,-6.394568,2005B
Hackballscross,Hackballscross,Co. Louth,(042) 9377142,17:00-20:00,,,,,17:00-20:00,17:00-20:00,54.031641,-6.524163,2072K
Louth,Louth Village,Co. Louth,(042) 9374102,10:00-13:00,,,,,10:00-13:00,12:00-13:00,53.952394,-6.537919,2075C
Omeath,Main Street,Co. Louth,(042) 9375175,18:00-21:00,,,,,18:00-21:00,18:00-21:00,54.086532,-6.256309,2074E
Balla,Balla,Co. Mayo,(094) 9365002,11:00-13:00,,,,,11:00-13:00,Closed,53.801869,-9.129879,5903L
Ballina,Lord Edward Street,Co. Mayo,(096) 20560,24-Jul,,,,,24-Jul,24-Jul,54.112854,-9.160445,5970F
Ballindine,Main Street,Co. Mayo,(094) 9364219,11:00-12:00,,,,,11:00-12:00,Closed,53.669647,-8.957725,6072M
Ballinrobe,Creagh Road,Co. Mayo,(094) 9542830,"11:00-13:00, 20:00-21:00",,,,,"11:00-13:00, 20:00-21:00",12:00-13:00,53.624611,-9.226214,6074G
Ballycroy,Ballycroy,Co. Mayo,(098) 49132,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.025764,-9.825856,6004F
Ballyhaunis,Main Street,Co. Mayo,(094) 9630008,"10:00-13:00, 20:00-21:00",,,,,"10:00-13:00, 20:00-21:00",Closed,53.763974,-8.767407,6104B
Bangor Erris,Bangor Erris,Co. Mayo,(097) 83462,10:00-13:00,,,,,10:00-13:00,10:00-12:00,54.143979,-9.747078,6003H
Belmullet,Béal an Mhuirthead,Co. Mayo,(097) 81910,24-Jul,,,,,24-Jul,24-Jul,54.221746,-9.985584,6000C
Bonniconlon,Bonniconlon,Co. Mayo,(096) 45002,10:00-13:00,,,,,10:00-13:00,Closed,54.109553,-9.028962,5973M
Castlebar,The Mall,Co. Mayo,(094) 9038200,24-Jul,,,,,24-Jul,24-Jul,53.853436,-9.297628,5900E
Charlestown,Ballyhaunis Road,Co. Mayo,(094) 9254104,10:00-12:00,,,,,10:00-12:00,Closed,53.962745,-8.793514,6102F
Claremorris,Mount Street,Co. Mayo,(094) 9372080,24-Jul,,,,,24-Jul,24-Jul,53.722297,-9.000249,6070D
Cong,Main Street,Co. Mayo,(094) 9546002,11:00-12:00,,,,,11:00-12:00,Closed,53.541468,-9.286535,6075E
Crossmolina,Erris Street,Co. Mayo,(096) 31371,"10:00-12:00, 19:00-21:00",,,,,"10:00-12:00, 19:00-21:00",Closed,54.099814,-9.322703,5974K
Foxford,Barrack Road,Co. Mayo,(094) 9256102,10:00-12:00,,,,,10:00-12:00,Closed,53.983287,-9.108411,6105M
Glenamoy,Gleann na Muaidhe,Co. Mayo,(097) 87844,10:00-13:00,,,,,10:00-13:00,12:00-14:00,54.240839,-9.67877,6005D
Achill Sound,Gob an Choire,Co. Mayo,(098) 20830,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.933725,-9.918491,6172G
Keel,Keel,Co. Mayo,(098) 43102,10:00-13:00,,,,,10:00-13:00,10:00-13:00,53.975372,-10.082253,6175A
